ItemNum,ItemName,Dept_ID,Category_ID,Category_Name
1212113,HOOKAH,5,NOVELTY,NOVELTY
121212,ROBUSTO NATURAL,6,PRMCIGAR,PREMIUM CIGAR
12121211,CAMACHO CONNECTICUT TORO,6,PRMCIGAR,PREMIUM CIGAR
121212111,MT3 CARTOMIZER,5,NOVELTY,NOVELTY
121212112,T3S ATOMIZER,5,NOVELTY,NOVELTY
12121212,FUHATTAN E-CIG KIT,5,NOVELTY,NOVELTY
1212121212,CIGAR BOX,5,NOVELTY,NOVELTY
12121212123,CIGAR BOX,5,NOVELTY,NOVELTY
1212121213,CIGAR BOX,5,NOVELTY,NOVELTY
1212122,CUBAN ROUNDS,6,PRMCIGAR,PREMIUM CIGAR
1212123,CRIOLLO BOMBA,6,PRMCIGAR,PREMIUM CIGAR
121213,CHEAP BASTARD CIGAR,6,PRMCIGAR,PREMIUM CIGAR
12123311,CIGAR HOLDER,5,NOVELTY,NOVELTY
12124444,4 ACES B1G1 POUCH,1,NONE,NONE
12124478,LARGO MINT B1G1 POUCH,1,NONE,NONE
12124544,LARGO NATURAL B1G1 POUCH,1,NONE,NONE
12124546,LARGO GOLD B1G1 POUCH,1,NONE,NONE
121334,8-5-8 CLARO,6,PRMCIGAR,PREMIUM CIGAR
121345,DON PEPIN GARCIA 15TH ANNI,6,PRMCIGAR,PREMIUM CIGAR
1215,6 FOR $10 ELIQUID,5,NOVELTY,NOVELTY
123,ASHTON MINI CIGARILLOS,6,PRMCIGAR,PREMIUM CIGAR
123013,CAMEL NON FILTER PK,2,CGRTPACK,CIGRT PACK
123033,CAMEL FILTERS BOX,2,CGRTPACK,CIGRT PACK
123073,CAMEL BLUE  BOX,2,CGRTPACK,CIGRT PACK
123123,WINSTON RED BX,2,CGRTPACK,CIGRT PACK
123193,WINSTON GOLD BX,2,CGRTPACK,CIGRT PACK
123203,SALEM MENT FF BX,2,CGRTPACK,CIGRT PACK
123223,SALEM MENTH FF 100BX,2,CGRTPACK,CIGRT PACK
123233,CAMEL SNUS MELLOW,7,CHEWLOG,LOG CHEW
123243,SALEM GOLD BX,2,CGRTPACK,CIGRT PACK
123253,SALEM GOLD 100BX,2,CGRTPACK,CIGRT PACK
123263,SALEM SLIM 100BX,2,CGRTPACK,CIGRT PACK
123321,JULIUS CESAR ROBUSTO,6,PRMCIGAR,PREMIUM CIGAR
123354,ZICO BIG TORCH/ WHIPIT,5,NOVELTY,NOVELTY
123355,ZICO BIG TORCH,5,NOVELTY,NOVELTY
1233stolen,seneca cherry 8pk,4,CIGARCTN,CIGAR CRTN
123403,CAMEL SNUS FROST LARGE,7,CHEWLOG,LOG CHEW
1234555,DIESEL SHORTY,6,PRMCIGAR,PREMIUM CIGAR
1234569,DIESEL UNLIMITED D7,6,PRMCIGAR,PREMIUM CIGAR
123456990,ROYAL DUKE,5,NOVELTY,NOVELTY
123457,PROJECT 40 GORDO 5PK,6,PRMCIGAR,PREMIUM CIGAR
1234570,DIESEL D7 MADURO UNLIMITED,6,PRMCIGAR,PREMIUM CIGAR
123458,PROJECT 40 CHURCHILL 5PK,6,PRMCIGAR,PREMIUM CIGAR
123498,ZICO TORCH LIGHTER,5,NOVELTY,NOVELTY
