ItemNum,ItemName,Dept_ID,Cost,Category_ID,Category_Name,AltSku
046149839040,PROPHET FRUITY BUBBLEGUM,ZIIPLAB,0.00000000,NONE,NONE,
046149839064,PROPHET PINEAPPLE BURST,ZIIPLAB,0.00000000,NONE,NONE,763331694125
046708726729,WATER SOLUBLE 150MG CBD,CBD,10.00000000,NONE,NONE,
046708726736,WATER SOLUBLE 300MG CBD,CBD,13.00000000,NONE,NONE,
046708726743,WATER SOLUBLE 500MG CBD,CBD,17.00000000,NONE,NONE,
046708726750,WATER SOLUBLE 1000MG CBD,CBD,25.00000000,NONE,NONE,
046708726767,MCT OIL 250MG CBD,CBD,11.00000000,NONE,NONE,
046708726774,MCT OIL 500MG,CBD,17.00000000,NONE,NONE,
046708726781,MCT OIL 100MG CBD,CBD,25.00000000,NONE,NONE,
046708726798,MCT OIL 1500MG CBD,CBD,34.99000000,NONE,NONE,
046708726804,WATER SOLUBLE 1500MG CBD,CBD,36.00000000,NONE,NONE,
047393691859,COTTON BACON PRIME,1,0.00000000,NONE,NONE,
047995855055,AMERICAN SPIRIT LGHT GREEN,CIGARETE,0.00000000,NONE,NONE,
047995855079,AMERICA SPIRIT BLACK,CIGARETE,0.00000000,NONE,NONE,
047995855086,AMERICA SPIRIT BLUE,CIGARETE,0.00000000,NONE,NONE,
047995855087,AMERICA SPIRIT GREEN,CIGARETE,0.00000000,NONE,NONE,
047995855093,AMERICA SPIRIT YELLOW,CIGARETE,0.00000000,NONE,NONE,
047995855222,AMERICA SPIRIT DARK GREEN,CIGARETE,0.00000000,NONE,NONE,
047995855246,AMERICA SPIRIT TORQUOISE,CIGARETE,0.00000000,NONE,NONE,
048500001769,TROPICANA APPLE JUICE 10OZ,9,0.00000000,NONE,NONE,
048500008386,TROPICANA CRANBERRY JUICE 10OZ,9,0.00000000,NONE,NONE,
049000014235,FANTA ORANGE 12OZ CAN,9,0.00000000,NONE,NONE,
049000014266,FANTA STRAWBERRY 12OZ CAN,9,0.00000000,NONE,NONE,
049000014273,FANTA PINEAPPLE 12OZ CAN,9,0.00000000,NONE,NONE,
049000023855,BARQS ROOT BEER 12 OZ CAN,9,0.00000000,NONE,NONE,
049000029901,PIBB XTRA CAN 12 OZ,9,0.00000000,NONE,NONE,
049000040869,COCA COLA ZERO BOTTLE 20OZ,9,0.00000000,NONE,NONE,
049000042566,COCA COLA ZERO 12OZ,9,0.00000000,NONE,NONE,
049000067330,GOLD PEAK SWEET TEA16.9 OZ,9,0.00000000,NONE,NONE,083900005757
049000558760,COCA COLA ORANGE CREAM 12OZ,9,0.00000000,NONE,NONE,
049000559064,SPRITE TROPICAL MIX,9,0.00000000,NONE,NONE,
